License Permit ID,Description,Expiration Date,DBA,LegalName,Premises County,Type,Class,Effective Date,Actual Address Of Premises,Additional Address Information,City,State Name,Zip Code,Original Issue Date,Last Issue Date,Legacy_Serial_Number,AKA Address,Georeference
0340-22-114062,Restaurant,7/31/2024,ROCHELLE'S,19 STANTON RESTAURANT LLC,New York,1,340,7/18/2024,19 STANTON ST,,NEW YORK,New York,10002,7/20/2022,7/20/2022,1264800,,POINT (-73.99192 40.72248)
0340-22-111020,Restaurant,7/31/2024,INSTITUTE OF ARCHITECTS,NEW YORK CHAPTER OF THE AMERICAN,New York,1,340,5/28/2024,534 LAGUARDIA PLACE,,NEW YORK,New York,10012,5/28/2024,5/28/2024,1143343,,POINT (-73.99848 40.72861)
0340-22-212870,Restaurant,7/31/2024,,VROOMAN'S HOTEL INC,Fulton,1,340,4/17/2024,2040 ST HWY 10 & 29,,CAROGA LAKE,New York,12032,4/17/2024,4/17/2024,2196121,,POINT (-74.4878 43.14187)
0340-23-134050,Restaurant,7/9/2024,,LA CANTINA MEX BAR & LOUNGE CORP,Bronx,1,340,4/1/2023,2467 ARTHUR AVE,,BRONX,New York,10458,3/22/2023,3/22/2023,1299793,,POINT (-73.88634 40.85699)
0340-23-157776,Restaurant,7/8/2024,,LA GLORIETA DE MARTIN LLC,Suffolk,1,340,10/11/2023,377 OAK ST,T/O BABYLON,COPIAGUE,New York,11726,10/11/2023,10/11/2023,6000121,,POINT (-73.4032 40.67968)
0240-22-101059,Restaurant,6/30/2024,SMASHBURGER #1563,SMASHBURGER ACQUISITION LONG ISLAND LLC,Nassau,1,240,6/12/2024,1608 MARCUS AVE,#1563 - STORE # 2,NEW HYDE PARK,New York,11040,6/12/2024,6/12/2024,1293913,,POINT (-73.68656 40.75437)
0240-22-100970,Restaurant,6/30/2024,EL ZASON,EL ZZASON CORP,Kings,1,240,6/4/2024,491 ATLANTIC AVE,,BROOKLYN,New York,11217,6/4/2024,6/4/2024,1343303,,POINT (-73.98162 40.68568)
0240-23-164949,Restaurant,6/30/2024,BIS,DU BOEUF INC,New York,1,240,12/22/2023,1207 LEXINGTON AVE,,NEW YORK,New York,10028,12/22/2023,12/22/2023,1335002,,POINT (-73.95761 40.77672)
0240-23-140409,Restaurant,6/30/2024,DIG INN,DIG INN 100 WEST 67TH STREET LLC,New York,1,240,8/7/2023,100 W 67TH ST,,NEW YORK,New York,10023,8/7/2023,8/7/2023,1311611,,POINT (-73.98143 40.77436)
0240-24-206919,Restaurant,6/30/2024,CRACKER BARREL OLD COUNTRY STORE #306,CBOCS NY LLC,Onondaga,1,240,3/18/2024,8400 PARDEE RD,,CICERO,New York,13039,3/18/2024,3/18/2024,2229211,,POINT (-76.11548 43.17932)
0240-24-106961,Restaurant,6/30/2024,,CARIDAD WILLIAMSBRIDGE CORP,Bronx,1,240,3/18/2024,1436 WILLIAMSBRIDGE RD,,BRONX,New York,10461,3/18/2024,3/18/2024,1324625,,POINT (-73.84488 40.84303)
0340-23-135960,Restaurant,6/30/2024,GRITO MEXICAN GRILL,SILVIA L DURAN,New York,1,340,6/7/2023,1555 ST NICHOLAS AVE,,NEW YORK,New York,10040,6/7/2023,6/7/2023,1292564,,POINT (-73.9307 40.85347)
0340-22-211601,Restaurant,6/30/2024,BOCAGE CHAMPAGNE BAR,"FOUNDRY SARATOGA LLC, THE",Saratoga,1,340,4/2/2024,10 PHILA ST,,SARATOGA SPRINGS,New York,12866,4/2/2024,4/2/2024,2228835,,POINT (-73.78516 43.08027)
0340-23-230632,Restaurant,6/30/2024,ORIGINAL LA STAZIONE,MARO P RESTAURANT CORP,Ulster,1,340,5/16/2024,5 MAIN ST,,NEW PALTZ,New York,12561,5/23/2023,5/23/2023,2227761,,POINT (-74.08933 41.74676)
0340-23-130408,Restaurant,6/30/2024,,HENRY STREET PRETZELS LLC,New York,1,340,9/18/2023,193 HENRY STREET- 1ST FLOOR,,NEW YORK,New York,10002,9/18/2023,9/18/2023,1338873,,POINT (-73.98784 40.71358)
0340-22-312702,Restaurant,6/30/2024,IL MULINO,IL MULINO INC,Erie,1,340,3/18/2024,465 WASHINGTON ST,STE 100,BUFFALO,New York,14203,3/18/2024,3/18/2024,3164760,,POINT (-78.87256 42.88662)
0340-23-229027,Restaurant,6/30/2024,EMERALD COCKTAIL KITCHEN,ROECO INC,Onondaga,1,340,6/14/2023,1333 W FAYETTE ST,NELSON ST & WILBUR AVE,SYRACUSE,New York,13204,6/14/2023,6/14/2023,2601165,,POINT (-76.17913 43.04817)
0340-23-227216,Restaurant,6/30/2024,REFINERY 51,OASIS RESTAURANT CORPORATION,Dutchess,1,340,9/29/2023,49 51 MARKET STREET,,POUGHKEEPSIE,New York,12601,9/29/2023,9/29/2023,2103392,,POINT (-73.92948 41.70255)
0340-22-307485,Restaurant,6/30/2024,Cristo's Wood Fired Pizza and Pasta,VENETO WESTSIDE LLC,Monroe,1,340,7/3/2024,1308 BUFFALO RD,STE 130 1ST FLOOR,GATES,New York,14624,12/8/2023,12/8/2023,3164712,,POINT (-77.68561 43.1503)
0340-23-336537,Restaurant,6/11/2024,TRIO 3D,TRIO 3D INC,Monroe,1,340,5/1/2023,3423 WINTON PL,,HENRIETTA,New York,14623,4/27/2023,4/27/2023,3158435,,POINT (-77.57923 43.09596)
0340-23-138328,Restaurant,6/4/2024,,EL TORITO LOUNGE INC,Westchester,1,340,3/15/2023,31 SOUTH STREET,,MOUNT VERNON,New York,10550,3/15/2023,3/15/2023,1322494,,POINT (-73.84977 40.9081)
0240-22-200804,Restaurant,5/31/2024,,GIUSEPPES PIZZA LLC,Clinton,1,240,11/8/2023,114 CONSUMER SQ,,PLATTSBURGH,New York,12901,11/8/2023,11/8/2023,2221653,,POINT (-73.48776 44.69524)
0240-23-141193,Restaurant,5/31/2024,ORION DINER & GRILL,FISCARDO INC,New York,1,240,2/8/2023,395 2ND AVE,,NEW YORK,New York,10010,2/8/2023,2/8/2023,1309107,,POINT (-73.98103 40.73773)
0340-23-135910,Restaurant,5/31/2024,OJALA AUTHENTIC MEXICAN,FULTON BEAN CO LLC,Kings,1,340,5/4/2023,852 FULTON ST,,BROOKLYN,New York,11238,5/4/2023,5/4/2023,1340629,,POINT (-73.96721 40.68354)
0340-22-105531,Restaurant,5/31/2024,The Snug,ARRAN QUAY LLC,Nassau,1,340,1/25/2024,1941 WANTAGH AVE,,WANTAGH,New York,11793,1/25/2024,1/25/2024,1341407,,POINT (-73.51019 40.67338)
0340-23-128416,Restaurant,5/31/2024,VICTORIA!,MONEYGOROUND INC,New York,1,340,7/26/2023,235 ELDRIDGE ST,,NEW YORK,New York,10002,7/26/2023,7/26/2023,1339492,,POINT (-73.98981 40.72238)
0340-22-107950,Restaurant,5/31/2024,,PIER 84 CHIP SHOP LLC,New York,1,340,1/10/2024,557 12TH AVE,,NEW YORK,NY,10036,1/10/2024,1/10/2024,1340072,,POINT (-74.0007 40.76268)
0340-22-203426,Restaurant,5/31/2024,BISTRO BRIE & BORDEAUX,DESGACHES AND ASSOCIATES INC,Greene,1,340,6/27/2024,5386 STATE ROUTE 23,100' W OF CHURCH ST & RT 23 IN,WINDHAM,New York,12496,5/11/2022,5/11/2022,2132437,,POINT (-74.25251 42.3072)
0340-23-136578,Restaurant,5/31/2024,UPTOWN MARKET,M & R JFK1 JV LLC,Queens,1,340,10/5/2023,JFK INT'L AIRPORT TERM 1,GATE 10 DEPARTURES,JAMAICA,New York,11430,10/5/2023,10/5/2023,1359037,,
0340-23-135816,Restaurant,5/31/2024,LLC,1412 BROADWAY ROOFTOP LLC & SKS MANAGEMENT,New York,1,340,5/23/2024,1412 BROADWAY,,NEW YORK,New York,10018,5/23/2024,5/23/2024,1296260,,POINT (-73.98704 40.75376)
0340-22-108169,Restaurant,5/31/2024,ISLAND EMPANADA OF LINDENHURST,MUINO ENTERPRISES LLC,Suffolk,1,340,2/23/2024,646 N WELLWOOD AVE,UNITS B & C,LINDENHURST,New York,11727,2/23/2024,2/23/2024,1341003,,POINT (-73.38369 40.70211)
0340-22-203573,Restaurant,5/31/2024,POP A TOP,JPC GROUP LLC,Madison,1,340,12/29/2023,105 WEST ELM STREET,N MAIN ST & N BROAD ST,ONEIDA,New York,13421,12/29/2023,12/29/2023,2605875,,POINT (-75.65366 43.09704)
0340-22-113278,Restaurant,5/31/2024,,LOVERAS LOUNGE CORP,Kings,1,340,2/23/2024,2943 FULTON ST,,BROOKLYN,New York,11207,2/23/2024,2/23/2024,1276655,,POINT (-73.88615 40.67948)
0340-23-135852,Restaurant,5/31/2024,MINNESOTA'S,PATCHOGUE LOCAL LLC,Suffolk,1,340,3/8/2023,76 W MAIN ST,,PATCHOGUE,New York,11772,3/8/2023,3/8/2023,1301356,,POINT (-73.01698 40.76581)
0340-22-107623,Restaurant,5/31/2024,NOT TODAY MAYBE TOMORROW TAVERN,NOT TODAY MAYBE TOMORROW TAVERN LLC,Kings,1,340,5/29/2024,749 METROPOLITAN AVE,,BROOKLYN,New York,11211,5/27/2022,5/27/2022,1324732,,POINT (-73.94395 40.71457)
